Epoch,Boundary Loss t,Boundary Loss l,Boundary Loss r,Physics Loss,Total Loss
1,0.5088684558868408,0.0006904901820234954,0.0008857397479005158,0.0014727180823683739,0.5119174122810364
2,0.4570211172103882,0.0018444524612277746,0.0003018435381818563,0.0011303951032459736,0.4602978229522705
3,0.4073655605316162,0.00642582168802619,0.003244191873818636,0.001375590916723013,0.41841116547584534
4,0.3598262369632721,0.014555485919117928,0.009770716540515423,0.002022557193413377,0.3861750066280365
5,0.31487271189689636,0.02623174712061882,0.019818127155303955,0.003007918130606413,0.36393049359321594
6,0.27373483777046204,0.04108840599656105,0.033550720661878586,0.004411153960973024,0.3527851104736328
7,0.2386583685874939,0.05781030282378197,0.0494508296251297,0.006282470189034939,0.3522019386291504
8,0.21252915263175964,0.07236668467521667,0.06424123793840408,0.008803454227745533,0.35794052481651306
9,0.19688303768634796,0.08060289919376373,0.07507643848657608,0.011745210736989975,0.36430758237838745
10,0.19076000154018402,0.08270115405321121,0.0791599452495575,0.01473978254944086,0.3673608899116516
11,0.19223149120807648,0.07785436511039734,0.07620515674352646,0.017418785020709038,0.36370980739593506
12,0.1993320733308792,0.06888901442289352,0.06946535408496857,0.019813716411590576,0.3575001358985901
13,0.2104400098323822,0.05862265080213547,0.05920768156647682,0.021270524710416794,0.3495408594608307
14,0.22394254803657532,0.04860109090805054,0.05042016878724098,0.02247929759323597,0.34544309973716736
15,0.2383985072374344,0.0403607040643692,0.043457284569740295,0.022699816152453423,0.34491628408432007
16,0.2525070011615753,0.03263968974351883,0.03632596880197525,0.022264942526817322,0.34373757243156433
17,0.2648681700229645,0.027678437530994415,0.03163786977529526,0.021230969578027725,0.3454154431819916
18,0.2745346128940582,0.02423955500125885,0.027803951874375343,0.01985974609851837,0.34643787145614624
19,0.280896931886673,0.021994752809405327,0.025620639324188232,0.0186034943908453,0.34711581468582153
20,0.28379279375076294,0.02126988396048546,0.024904683232307434,0.0172823965549469,0.34724974632263184
21,0.2834448516368866,0.020916717126965523,0.02550508826971054,0.016108082607388496,0.34597477316856384
22,0.2802585959434509,0.022142518311738968,0.02675548568367958,0.015136908739805222,0.3442935049533844
23,0.27482306957244873,0.024798506870865822,0.028437413275241852,0.01428759004920721,0.34234657883644104
24,0.26780372858047485,0.02697008289396763,0.03177107498049736,0.013690275140106678,0.3402351438999176
25,0.2598705589771271,0.03063357248902321,0.03450804203748703,0.01315583661198616,0.33816802501678467
26,0.2516540288925171,0.033989109098911285,0.0389464907348156,0.012623490765690804,0.33721309900283813
27,0.24379271268844604,0.03710456192493439,0.042182810604572296,0.012201034463942051,0.3352811336517334
28,0.23671914637088776,0.041901685297489166,0.044976234436035156,0.011995476670563221,0.3355925381183624
29,0.23094063997268677,0.04374849796295166,0.0474994033575058,0.011654402129352093,0.333842933177948
30,0.2266148328781128,0.04670635983347893,0.0498625822365284,0.011552643030881882,0.3347364366054535
31,0.22398482263088226,0.047383908182382584,0.051189057528972626,0.011638244614005089,0.3341960310935974
32,0.22304722666740417,0.04677459970116615,0.05117052048444748,0.011724734678864479,0.33271709084510803
33,0.2236192673444748,0.04713331162929535,0.04838419333100319,0.011961945332586765,0.331098735332489
34,0.2254408895969391,0.0452590212225914,0.04788282886147499,0.012058713473379612,0.3306414484977722
35,0.22828662395477295,0.04304400831460953,0.04516163840889931,0.012139675207436085,0.3286319375038147
36,0.231754869222641,0.04128318279981613,0.04159506410360336,0.012465741485357285,0.32709887623786926
37,0.23543034493923187,0.03810456767678261,0.040112078189849854,0.012604231014847755,0.32625123858451843
38,0.23893171548843384,0.03611186146736145,0.03631463274359703,0.012605003081262112,0.3239632248878479
39,0.2417650818824768,0.03346947580575943,0.033720921725034714,0.012829708866775036,0.32178518176078796
40,0.2434944212436676,0.032193105667829514,0.03292207047343254,0.01279676053673029,0.3214063346385956
41,0.24400494992733002,0.030519606545567513,0.03129551559686661,0.012691047042608261,0.31851109862327576
42,0.2430516481399536,0.030869394540786743,0.031078068539500237,0.012562855146825314,0.31756195425987244
43,0.24078747630119324,0.03205881267786026,0.03141958639025688,0.012216555885970592,0.31648242473602295
44,0.23745301365852356,0.032280098646879196,0.03084053099155426,0.011363244615495205,0.3119368553161621
45,0.23313385248184204,0.03292408585548401,0.03314888849854469,0.010589111596345901,0.30979591608047485
46,0.2282271534204483,0.03577686473727226,0.03561908379197121,0.009923988953232765,0.30954709649086
47,0.2233273684978485,0.036482688039541245,0.03599517047405243,0.00902240164577961,0.30482763051986694
