Epoch,Loss U (Real),Loss U (Imag),Loss V,Total Loss,Physics Loss,Boundary Loss U(Real),Boundary Loss U(Imag),Boundary Loss V,Domain Loss
0,4.310764312744141,1.7727357149124146,2.6474342346191406,8.730934143066406,1.1189117953181267,4.313780725002289,1.7740090936422348,2.648531973361969,"tensor(2.2302, device='cuda:0', grad_fn=<AddBackward0>)"
1,3.792708158493042,1.472621202468872,2.2844252586364746,7.549754619598389,2.4589615166187286,3.7951599955558777,1.4732703864574432,2.284382477402687,"tensor(2.0359, device='cuda:0', grad_fn=<AddBackward0>)"
2,3.318906784057617,1.167680263519287,1.92418372631073,6.410770893096924,7.826897144317627,3.3200432658195496,1.1669480577111244,1.9204777479171753,"tensor(1.8821, device='cuda:0', grad_fn=<AddBackward0>)"
3,2.816354751586914,0.8844218254089355,1.566402554512024,5.267179012298584,16.135435581207275,2.815577119588852,0.8808259591460228,1.558224394917488,"tensor(1.6708, device='cuda:0', grad_fn=<AddBackward0>)"
4,2.2863175868988037,0.5961322784423828,1.184014916419983,4.066464900970459,30.81344509124756,2.282741516828537,0.5876119621098042,1.1679067388176918,"tensor(1.4291, device='cuda:0', grad_fn=<AddBackward0>)"
5,1.7000187635421753,0.3424665927886963,0.7817603945732117,2.8242456912994385,52.27501392364502,1.6900286376476288,0.326474042609334,0.7570773586630821,"tensor(1.1643, device='cuda:0', grad_fn=<AddBackward0>)"
6,1.1475164890289307,0.1604413241147995,0.425931453704834,1.7338892221450806,88.8521900177002,1.1301382035017014,0.13249196950346231,0.38318319246172905,"tensor(0.8694, device='cuda:0', grad_fn=<AddBackward0>)"
7,0.6338204741477966,0.07973332703113556,0.18700747191905975,0.9005612730979919,139.37429809570312,0.6055984422564507,0.04053208092227578,0.11517534498125315,"tensor(0.6424, device='cuda:0', grad_fn=<AddBackward0>)"
8,0.27486833930015564,0.09831681847572327,0.1634017527103424,0.5365868806838989,205.8193359375,0.23088291194289923,0.05115976114757359,0.04863750236108899,"tensor(0.4181, device='cuda:0', grad_fn=<AddBackward0>)"
9,0.14259342849254608,0.15882229804992676,0.33848845958709717,0.6399042010307312,224.36180114746094,0.09011953137814999,0.11058224737644196,0.21495400927960873,"tensor(0.3022, device='cuda:0', grad_fn=<AddBackward0>)"
10,0.2224540114402771,0.19755005836486816,0.5058037638664246,0.9258078336715698,211.46270370483398,0.16760196816176176,0.15451213251799345,0.392673596739769,"tensor(0.2722, device='cuda:0', grad_fn=<AddBackward0>)"
11,0.35793203115463257,0.17914003133773804,0.48244181275367737,1.0195138454437256,174.3528709411621,0.3067026175558567,0.14669965067878366,0.39236245676875114,"tensor(0.2420, device='cuda:0', grad_fn=<AddBackward0>)"
12,0.3822205364704132,0.1226511150598526,0.35317757725715637,0.8580492734909058,139.11515426635742,0.3417602814733982,0.1007187133654952,0.2769043389707804,"tensor(0.2701, device='cuda:0', grad_fn=<AddBackward0>)"
13,0.31267186999320984,0.06856035441160202,0.22036640346050262,0.6015986204147339,124.39113903045654,0.27454514242708683,0.05283466354012489,0.15005808742716908,"tensor(0.2470, device='cuda:0', grad_fn=<AddBackward0>)"
14,0.21189290285110474,0.034964483231306076,0.13560327887535095,0.38246065378189087,107.82630157470703,0.18376458436250687,0.024940843461081386,0.06594405882060528,"tensor(0.2595, device='cuda:0', grad_fn=<AddBackward0>)"
15,0.14411243796348572,0.03225331008434296,0.11132870614528656,0.28769445419311523,98.77009296417236,0.1219632476568222,0.0247397986240685,0.042134678922593594,"tensor(0.2755, device='cuda:0', grad_fn=<AddBackward0>)"
16,0.11634017527103424,0.049205806106328964,0.12056171894073486,0.28610771894454956,80.30295276641846,0.10051246825605631,0.04329216154292226,0.06188219413161278,"tensor(0.3236, device='cuda:0', grad_fn=<AddBackward0>)"
17,0.10288860648870468,0.06968572735786438,0.14995720982551575,0.3225315511226654,64.13472652435303,0.09099387284368277,0.06420254311524332,0.10314224474132061,"tensor(0.3165, device='cuda:0', grad_fn=<AddBackward0>)"
18,0.09520848840475082,0.08088919520378113,0.17223812639713287,0.34833580255508423,54.11539030075073,0.08682603854686022,0.07609169837087393,0.13125632889568806,"tensor(0.3405, device='cuda:0', grad_fn=<AddBackward0>)"
19,0.09740249067544937,0.08552369475364685,0.18563079833984375,0.3685569763183594,47.45350694656372,0.09069946315139532,0.08102606772445142,0.14936546050012112,"tensor(0.3336, device='cuda:0', grad_fn=<AddBackward0>)"
20,0.09543603658676147,0.07610519975423813,0.17354337871074677,0.34508460760116577,37.0149712562561,0.08966099563986063,0.07183591299690306,0.14658169448375702,"tensor(0.2991, device='cuda:0', grad_fn=<AddBackward0>)"
21,0.08833355456590652,0.057313427329063416,0.1401062160730362,0.28575319051742554,34.86784076690674,0.08144032396376133,0.052634928841143847,0.11678876192308962,"tensor(0.2722, device='cuda:0', grad_fn=<AddBackward0>)"
22,0.08613430708646774,0.04307083413004875,0.10812278091907501,0.2373279184103012,35.0026741027832,0.07759266532957554,0.03814286319538951,0.0865338642615825,"tensor(0.2581, device='cuda:0', grad_fn=<AddBackward0>)"
23,0.07574708014726639,0.030859606340527534,0.07167430222034454,0.17828097939491272,36.353843212127686,0.06590883387252688,0.025273921201005578,0.05066051019821316,"tensor(0.2257, device='cuda:0', grad_fn=<AddBackward0>)"
24,0.06519161909818649,0.02502954751253128,0.04725196585059166,0.13747313618659973,36.342697620391846,0.054765631910413504,0.01917188405059278,0.027100364910438657,"tensor(0.1936, device='cuda:0', grad_fn=<AddBackward0>)"
